Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,Level
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,X1960,414.371
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,X1960,NA
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1960,NA
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,X1960,48815.104
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,X1960,NA
Argentina,ARG,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1960,NA
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,X1960,91000.272
Belgium,BEL,Forest area (% of land area),AG.LND.FRST.ZS,X1960,NA
Belgium,BEL,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1960,NA
Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,X1960,46908.264
Brazil,BRA,Forest area (% of land area),AG.LND.FRST.ZS,X1960,NA
Brazil,BRA,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1960,NA
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1960,192895.201
Canada,CAN,Forest area (% of land area),AG.LND.FRST.ZS,X1960,NA
Canada,CAN,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1960,NA
Cameroon,CMR,CO2 emissions (kt),EN.ATM.CO2E.KT,X1960,271.358
Cameroon,CMR,Forest area (% of land area),AG.LND.FRST.ZS,X1960,NA
Cameroon,CMR,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1960,NA
Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,X1960,48928.781
Spain,ESP,Forest area (% of land area),AG.LND.FRST.ZS,X1960,NA
Spain,ESP,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1960,NA
Indonesia,IDN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1960,21404.279
Indonesia,IDN,Forest area (% of land area),AG.LND.FRST.ZS,X1960,NA
Indonesia,IDN,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1960,NA
India,IND,CO2 emissions (kt),EN.ATM.CO2E.KT,X1960,120581.961
India,IND,Forest area (% of land area),AG.LND.FRST.ZS,X1960,NA
India,IND,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1960,NA
Kenya,KEN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1960,2427.554
