"Country.Name","Country.Code","Indicator.Name","Indicator.Code","Year","Level"
"Afghanistan","AFG","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","X1960",NA
"Afghanistan","AFG","CO2 emissions (kt)","EN.ATM.CO2E.KT","X1960",414.371
"Afghanistan","AFG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","X1960",NA
"Afghanistan","AFG","Forest area (% of land area)","AG.LND.FRST.ZS","X1960",NA
"Afghanistan","AFG","Agricultural land (% of land area)","AG.LND.AGRI.ZS","X1960",NA
"Argentina","ARG","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","X1960",NA
"Argentina","ARG","CO2 emissions (kt)","EN.ATM.CO2E.KT","X1960",48815.104
"Argentina","ARG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","X1960",NA
"Argentina","ARG","Forest area (% of land area)","AG.LND.FRST.ZS","X1960",NA
"Argentina","ARG","Agricultural land (% of land area)","AG.LND.AGRI.ZS","X1960",NA
"Belgium","BEL","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","X1960",NA
"Belgium","BEL","CO2 emissions (kt)","EN.ATM.CO2E.KT","X1960",91000.272
"Belgium","BEL","Access to electricity (% of population)","EG.ELC.ACCS.ZS","X1960",NA
"Belgium","BEL","Forest area (% of land area)","AG.LND.FRST.ZS","X1960",NA
"Belgium","BEL","Agricultural land (% of land area)","AG.LND.AGRI.ZS","X1960",NA
"Brazil","BRA","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","X1960",NA
"Brazil","BRA","CO2 emissions (kt)","EN.ATM.CO2E.KT","X1960",46908.264
"Brazil","BRA","Access to electricity (% of population)","EG.ELC.ACCS.ZS","X1960",NA
"Brazil","BRA","Forest area (% of land area)","AG.LND.FRST.ZS","X1960",NA
"Brazil","BRA","Agricultural land (% of land area)","AG.LND.AGRI.ZS","X1960",NA
"Canada","CAN","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","X1960",NA
"Canada","CAN","CO2 emissions (kt)","EN.ATM.CO2E.KT","X1960",192895.201
"Canada","CAN","Access to electricity (% of population)","EG.ELC.ACCS.ZS","X1960",NA
"Canada","CAN","Forest area (% of land area)","AG.LND.FRST.ZS","X1960",NA
"Canada","CAN","Agricultural land (% of land area)","AG.LND.AGRI.ZS","X1960",NA
"Cameroon","CMR","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","X1960",NA
"Cameroon","CMR","CO2 emissions (kt)","EN.ATM.CO2E.KT","X1960",271.358
"Cameroon","CMR","Access to electricity (% of population)","EG.ELC.ACCS.ZS","X1960",NA
"Cameroon","CMR","Forest area (% of land area)","AG.LND.FRST.ZS","X1960",NA
"Cameroon","CMR","Agricultural land (% of land area)","AG.LND.AGRI.ZS","X1960",NA
"Spain","ESP","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","X1960",NA
"Spain","ESP","CO2 emissions (kt)","EN.ATM.CO2E.KT","X1960",48928.781
"Spain","ESP","Access to electricity (% of population)","EG.ELC.ACCS.ZS","X1960",NA
"Spain","ESP","Forest area (% of land area)","AG.LND.FRST.ZS","X1960",NA
"Spain","ESP","Agricultural land (% of land area)","AG.LND.AGRI.ZS","X1960",NA
"Indonesia","IDN","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","X1960",NA
"Indonesia","IDN","CO2 emissions (kt)","EN.ATM.CO2E.KT","X1960",21404.279
"Indonesia","IDN","Access to electricity (% of population)","EG.ELC.ACCS.ZS","X1960",NA
"Indonesia","IDN","Forest area (% of land area)","AG.LND.FRST.ZS","X1960",NA
"Indonesia","IDN","Agricultural land (% of land area)","AG.LND.AGRI.ZS","X1960",NA
"India","IND","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","X1960",NA
"India","IND","CO2 emissions (kt)","EN.ATM.CO2E.KT","X1960",120581.961
"India","IND","Access to electricity (% of population)","EG.ELC.ACCS.ZS","X1960",NA
"India","IND","Forest area (% of land area)","AG.LND.FRST.ZS","X1960",NA
"India","IND","Agricultural land (% of land area)","AG.LND.AGRI.ZS","X1960",NA
"Kenya","KEN","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","X1960",NA
"Kenya","KEN","CO2 emissions (kt)","EN.ATM.CO2E.KT","X1960",2427.554
"Kenya","KEN","Access to electricity (% of population)","EG.ELC.ACCS.ZS","X1960",NA
"Kenya","KEN","Forest area (% of land area)","AG.LND.FRST.ZS","X1960",NA
"Kenya","KEN","Agricultural land (% of land area)","AG.LND.AGRI.ZS","X1960",NA
"Mexico","MEX","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","X1960",NA
"Mexico","MEX","CO2 emissions (kt)","EN.ATM.CO2E.KT","X1960",63116.404
"Mexico","MEX","Access to electricity (% of population)","EG.ELC.ACCS.ZS","X1960",NA
"Mexico","MEX","Forest area (% of land area)","AG.LND.FRST.ZS","X1960",NA
"Mexico","MEX","Agricultural land (% of land area)","AG.LND.AGRI.ZS","X1960",NA
"Nicaragua","NIC","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","X1960",NA
"Nicaragua","NIC","CO2 emissions (kt)","EN.ATM.CO2E.KT","X1960",531.715
"Nicaragua","NIC","Access to electricity (% of population)","EG.ELC.ACCS.ZS","X1960",NA
"Nicaragua","NIC","Forest area (% of land area)","AG.LND.FRST.ZS","X1960",NA
"Nicaragua","NIC","Agricultural land (% of land area)","AG.LND.AGRI.ZS","X1960",NA
"Norway","NOR","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","X1960",NA
"Norway","NOR","CO2 emissions (kt)","EN.ATM.CO2E.KT","X1960",13102.191
"Norway","NOR","Access to electricity (% of population)","EG.ELC.ACCS.ZS","X1960",NA
"Norway","NOR","Forest area (% of land area)","AG.LND.FRST.ZS","X1960",NA
"Norway","NOR","Agricultural land (% of land area)","AG.LND.AGRI.ZS","X1960",NA
"Pakistan","PAK","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","X1960",NA
"Pakistan","PAK","CO2 emissions (kt)","EN.ATM.CO2E.KT","X1960",14154.62
"Pakistan","PAK","Access to electricity (% of population)","EG.ELC.ACCS.ZS","X1960",NA
