"Country.Name","Country.Code","Indicator.Code","Year","Agricultural land (% of land area)","CO2 emissions (kt)","Forest area (% of land area)"
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1960",NA,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1961",57.74591796,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1962",57.83782128,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1963",57.91440738,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1964",58.01090586,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1965",58.0139693,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1966",58.07217474,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1967",58.17326839,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1968",58.17480011,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1969",58.19930766,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1970",58.21462488,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1971",58.26057654,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1972",58.27589376,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1973",58.2789572,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1974",58.2789572,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1975",58.2789572,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1976",58.2789572,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1977",58.28202065,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1978",58.28202065,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1979",58.28048893,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1980",58.28048893,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1981",58.28661581,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1982",58.28814754,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1983",58.28814754,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1984",58.28814754,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1985",58.28814754,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1986",58.28814754,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1987",58.27436204,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1988",58.26670343,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1989",58.26670343,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1990",58.26670343,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1991",58.25138621,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1992",58.25138621,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1993",58.1043409,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1994",57.91900254,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1995",57.82709922,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1996",57.8255675,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1997",57.88377294,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1998",58.00171553,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X1999",57.82709922,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X2000",57.82709922,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X2001",57.82709922,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X2002",57.82709922,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X2003",58.06757957,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X2004",58.06911129,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X2005",58.06757957,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X2006",58.06757957,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X2007",58.06757957,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X2008",58.06757957,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X2009",58.06757957,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X2010",58.06911129,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X2011",58.06757957,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X2012",58.06757957,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X2013",58.06757957,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X2014",58.06757957,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X2015",58.06757957,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X2016",58.06757957,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X2017",NA,NA,NA
"Afghanistan","AFG","AG.LND.AGRI.ZS","X2018",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1960",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1961",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1962",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1963",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1964",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1965",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1966",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1967",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1968",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1969",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1970",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1971",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1972",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1973",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1974",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1975",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1976",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1977",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1978",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1979",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1980",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1981",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1982",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1983",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1984",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1985",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1986",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1987",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1988",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1989",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1990",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X1991",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X1992",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X1993",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X1994",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X1995",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X1996",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X1997",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X1998",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X1999",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2000",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2001",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2002",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2003",NA,NA,2.067824648
