Country.Name,Country.Code,Indicator.Code,Year,Access to electricity (% of population),Agricultural land (% of land area),Agricultural methane emissions (thousand metric tons of CO2 equivalent),CO2 emissions (kt),Forest area (% of land area)
Afghanistan,AFG,AG.LND.AGRI.ZS,X1960,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1961,NA,57.74591796,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1962,NA,57.83782128,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1963,NA,57.91440738,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1964,NA,58.01090586,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1965,NA,58.0139693,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1966,NA,58.07217474,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1967,NA,58.17326839,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1968,NA,58.17480011,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1969,NA,58.19930766,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1970,NA,58.21462488,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1971,NA,58.26057654,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1972,NA,58.27589376,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1973,NA,58.2789572,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1974,NA,58.2789572,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1975,NA,58.2789572,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1976,NA,58.2789572,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1977,NA,58.28202065,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1978,NA,58.28202065,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1979,NA,58.28048893,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1980,NA,58.28048893,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1981,NA,58.28661581,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1982,NA,58.28814754,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1983,NA,58.28814754,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1984,NA,58.28814754,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1985,NA,58.28814754,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1986,NA,58.28814754,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1987,NA,58.27436204,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1988,NA,58.26670343,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1989,NA,58.26670343,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1990,NA,58.26670343,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1991,NA,58.25138621,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1992,NA,58.25138621,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1993,NA,58.1043409,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1994,NA,57.91900254,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1995,NA,57.82709922,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1996,NA,57.8255675,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1997,NA,57.88377294,NA,NA,NA
Afghanistan,AFG,AG.LND.AGRI.ZS,X1998,NA,58.00171553,NA,NA,NA
